date,alt_value,alt_classification
2025-06-18,52,NEUTRAL
2025-06-17,68,GREED
2025-06-16,61,GREED
2025-06-15,60,GREED
2025-06-14,63,GREED
2025-06-13,61,GREED
2025-06-12,71,GREED
2025-06-11,72,GREED
2025-06-10,71,GREED
2025-06-09,62,GREED
2025-06-08,62,GREED
2025-06-07,52,NEUTRAL
2025-06-06,45,FEAR
2025-06-05,57,GREED
2025-06-04,62,GREED
2025-06-03,64,GREED
2025-06-02,64,GREED
2025-06-01,56,GREED
2025-05-31,50,NEUTRAL
2025-05-30,60,GREED
2025-05-29,74,GREED
2025-05-28,71,GREED
2025-05-27,74,GREED
2025-05-26,73,GREED
2025-05-25,74,GREED
2025-05-24,66,GREED
2025-05-23,78,EXTREME GREED
2025-05-22,72,GREED
2025-05-21,70,GREED
2025-05-20,71,GREED
2025-05-19,74,GREED
2025-05-18,74,GREED
2025-05-17,74,GREED
2025-05-16,71,GREED
2025-05-15,70,GREED
2025-05-14,73,GREED
2025-05-13,70,GREED
2025-05-12,70,GREED
2025-05-11,70,GREED
2025-05-10,70,GREED
2025-05-09,73,GREED
2025-05-08,65,GREED
2025-05-07,67,GREED
2025-05-06,59,GREED
2025-05-05,52,NEUTRAL
2025-05-04,64,GREED
2025-05-03,65,GREED
2025-05-02,67,GREED
2025-05-01,53,NEUTRAL
2025-04-30,56,GREED
2025-04-29,60,GREED
2025-04-28,54,NEUTRAL
2025-04-27,61,GREED
2025-04-26,65,GREED
2025-04-25,60,GREED
2025-04-24,63,GREED
2025-04-23,72,GREED
2025-04-22,47,NEUTRAL
2025-04-21,39,FEAR
2025-04-20,37,FEAR
2025-04-19,32,FEAR
2025-04-18,33,FEAR
2025-04-17,30,FEAR
2025-04-16,29,FEAR
2025-04-15,38,FEAR
2025-04-14,31,FEAR
2025-04-13,45,FEAR
2025-04-12,43,FEAR
2025-04-11,25,EXTREME FEAR
2025-04-10,39,FEAR
2025-04-09,18,EXTREME FEAR
2025-04-08,24,EXTREME FEAR
2025-04-07,23,EXTREME FEAR
2025-04-06,34,FEAR
2025-04-05,30,FEAR
2025-04-04,28,FEAR
2025-04-03,25,EXTREME FEAR
2025-04-02,44,FEAR
